PEAKID,COORDA,COORDB
EVER,27.5848,86.5512
KANG,27.42,88.09
LHOT,27.5736,86.5548
YALU,27.42,88.0824
MAKA,27.5248,87.0448
KANS,27.4124,88.09
KANC,27.42,88.09
LHOM,27.5636,86.5548
LSHR,27.57,86.5624
CHOY,28.0524,86.3936
DHA1,28.4124,83.2924
MANA,28.3224,84.3336
ANN1,28.3524,83.4912
YALW,27.42,88.0824
ANNM,28.3524,83.4948
ANNE,28.3524,83.4912
KANN,27.42,88.09
ANN2,28.3148,84.0712
NGOJ,28.06,86.4048
KANB,27.4236,88.0636
HIME,28.2548,84.3824
PK29,28.3,84.3336
NUPT,27.5736,86.5248
GYAC,28.0524,86.4424
NUPE,27.5736,86.5324
KBNE,27.4236,88.0636
DHA2,28.4536,83.2248
NGO2,28.06,86.42
NUPW,27.5736,86.5212
DHA3,28.45,83.2212
JANU,27.4048,88.0224
NGO3,28.06,86.4236
MAK2,27.5436,87.0448
DHA4,28.4348,83.1836
FANG,28.3412,83.48
DHA5,28.4348,83.2136
SHAR,27.5636,86.5848
CTSE,28.0112,86.5436
ANN3,28.3448,83.5924
HERZ,28.3636,83.5212
HIMW,28.2548,84.3636
ANN4,28.3148,84.0448
ROCN,28.3636,83.5212
JONG,27.5136,88.0824
JANE,27.4048,88.0224
SHA2,27.57,86.5736
GANG,28.3748,83.57
DOMO,27.5248,88.0824
GAN1,28.3036,83.48
KABR,27.3748,88.0636
CHUR,28.4348,83.1236
CHRE,28.4424,83.1312
CHRW,28.4348,83.1236
KIRA,27.4648,88.1124
GIMM,27.4424,88.0936
PASA,28.0448,86.36
TLNG,27.39,88.0748
KABN,27.3748,88.0636
HIMN,28.2624,84.36
CHAM,27.4612,86.5848
NAG1,28.0412,86.3748
KABS,27.3636,88.0636
NAG2,28.33,84.5624
DHA6,28.42,83.1612
DOMK,27.5212,88.09
PUTH,28.4424,83.0824
LANG,28.15,85.3036
ANNS,28.3036,83.48
LANR,28.2248,85.4048
GURJ,28.4012,83.1612
GAMA,28.4312,83.1612
NEPA,27.4612,88.1012
GLAC,28.36,83.5324
CHMN,28.33,84.5624
CHMR,28.3224,84.5624
BARU,27.5212,86.5848
NEMJ,28.4536,84.2512
PYRM,27.4912,88.1012
GANW,28.3748,83.57
PUMO,28.0036,86.4912
GAUR,27.5736,86.1948
TILI,28.4048,83.4836
JUNC,35.54,76.33
APIM,30,80.5548
HIML,28.4612,84.2512
GAN2,28.2024,85.0636
GAN4,28.2024,85.0412
HIMJ,28.4612,84.2436
APIW,30,80.5548
GYAJ,28.4124,84.2248
TARS,28.36,83.5324
NILN,28.4048,83.4424
THUL,28.33,84.3036
GAN3,28.2212,85.03
JANK,27.5212,88.0524
RATC,28.5136,84.2136
SAIP,29.5248,81.2924
HCHI,28.0148,86.45
PLNG,28.0712,86.3824
GAUS,27.57,86.1948
